index,obs,initJMonth,lastJMonth,monthsNo,avgObsMonthly,firmsNo,productionNo,productionPct
Whole,20030,139401,140004,72,278.19444444444446,422,359,0.8507109004739336
Balanced,12792,139601,140004,52,246.0,246,220,0.8943089430894309
